RM,MRM,Count,Action,Sex,Age,Weight,Height,BodyType,CountGroup,AgeGroup,Index
20,15,10,Squat,Female,20,52,160,Endomorph,7-10,20-27,20.312499999999996
37.5,35,2,Bench press,Female,33,50,158,Endomorph,2-3,28-35,20.028841531805796
60,48,7,Bench press,Male,28,73,180,Mesomorph,7-10,28-35,22.530864197530864
55,50,6,Squat,Female,33,50,158,Endomorph,4-6,28-35,20.028841531805796
92.5,50,30,Bench press,Male,17,95,170,Endomorph,>20,<20,32.871972318339104
57,52,4,Bench press,Female,37,48,155,Mesomorph,4-6,>35,19.979188345473464
63,55,5,Bench press,Male,15,66,170,Mesomorph,4-6,<20,22.837370242214536
115,55,30,Bench press,Male,35,77,182,Mesomorph,>20,28-35,23.24598478444632
65,60,2,Bench press,Female,26,47,158,Mesomorph,2-3,20-27,18.82711103989745
70,62,6,Bench press,Male,15,66,177,Ectomorph,4-6,<20,21.06674327300584
70,65,3,Bench press,Female,32,52,158,Mesomorph,2-3,28-35,20.82999519307803
80,65,6,Bench press,Male,32,75,174,Mesomorph,4-6,28-35,24.772096710265558
80,65,7,Bench press,Male,17,84,190,Mesomorph,7-10,<20,23.268698060941826
100,70,10,Deadlift,Male,16,63,181,Ectomorph,7-10,<20,19.230182228869694
115,70,18,Bench press,Male,16,70,170,Mesomorph,11-20,<20,24.221453287197235
150,75,35,Bench press,Male,31,74,159,Mesomorph,>20,28-35,29.270994027135
100,80,8,Squat,Male,15,65,175,Mesomorph,7-10,<20,21.224489795918366
100,80,8,Bench press,Male,19,66,176,Ectomorph,7-10,<20,21.306818181818183
115,80,18,Bench press,Male,19,78,178,Ectomorph,11-20,<20,24.61810377477591
155,80,26,Bench press,Male,26,80,171,Mesomorph,>20,20-27,27.358845456721728
170,80,35,Bench press,Male,21,90,183,Ectomorph,>20,20-27,26.874496103198062
90,85,2,Bench press,Female,26,59,162,Mesomorph,2-3,20-27,22.481329065691202
105,85,8,Bench press,Male,19,72,182,Ectomorph,7-10,<20,21.736505252988767
115,85,8,Bench press,Male,25,76,174,Endomorph,7-10,20-27,25.102391333069097
120,85,15,Bench press,Male,21,76,175,Mesomorph,11-20,20-27,24.816326530612244
100,87,2,Bench press,Male,18,71,177,Mesomorph,2-3,<20,22.66270867247598
102,90,3,Bench press,Male,30,80,177,Mesomorph,2-3,28-35,25.53544639152223
110,90,4,Bench press,Male,15,60,168,Mesomorph,4-6,<20,21.258503401360546
100,90,5,Bench press,Male,34,130,198,Endomorph,4-6,28-35,33.15988164473013
95,90,6,Bench press,Male,22,74,177,Mesomorph,4-6,20-27,23.620287912158062
100,90,7,Bench press,Male,17,95,191,Mesomorph,7-10,<20,26.04095282475809
110,90,8,Bench press,Male,23,88,187,Endomorph,7-10,20-27,25.165146272412706
105,90,9,Bench press,Male,16,54,167,Ectomorph,7-10,<20,19.362472659471475
115,90,9,Bench press,Male,26,94,184,Endomorph,7-10,20-27,27.764650283553873
125,90,17,Bench press,Male,27,87,180,Endomorph,11-20,20-27,26.85185185185185
112.5,95,3,Bench press,Male,18,66,170,Ectomorph,2-3,<20,22.837370242214536
112,95,5,Bench press,Male,26,87,168,Endomorph,4-6,20-27,30.824829931972793
105,100,2,Bench press,Male,18,67,169,Mesomorph,2-3,<20,23.458562375266975
107,100,2,Bench press,Male,42,108,190,Ectomorph,2-3,>35,29.916897506925206
115,100,5,Squat,Female,19,74,166,Endomorph,4-6,<20,26.85440557410364
115,100,5,Bench press,Male,27,78,177,Endomorph,4-6,20-27,24.897060231734173
120,100,5,Bench press,Male,60,90,167,Endomorph,4-6,>35,32.2707877657858
120,100,5,Bench press,Male,37,95,175,Endomorph,4-6,>35,31.020408163265305
115,100,7,Bench press,Male,26,65,165,Ectomorph,7-10,20-27,23.87511478420569
120,100,7,Bench press,Male,55,85,182,Ectomorph,7-10,>35,25.661152034778407
120,100,8,Bench press,Male,28,74,178,Ectomorph,7-10,28-35,23.355636914530994
122,100,8,Bench press,Male,42,80,175,Mesomorph,7-10,>35,26.122448979591837
120,100,9,Bench press,Male,25,82,188,Ectomorph,7-10,20-27,23.200543232231773
125,100,10,Bench press,Male,19,82.5,181,Mesomorph,7-10,<20,25.1823814901865
125,100,10,Bench press,Male,24,104,164,Endomorph,7-10,20-27,38.66745984533016
140,100,12,Bench press,Male,30,76,174,Ectomorph,11-20,28-35,25.102391333069097
140,100,12,Bench press,Male,38,100,170,Endomorph,11-20,>35,34.602076124567475
135,100,17,Bench press,Male,29,75,172,Ectomorph,11-20,28-35,25.351541373715524
140,100,21,Bench press,Male,28,115,180,Mesomorph,>20,28-35,35.49382716049382
197,100,22,Bench press,Male,30,90,180,Mesomorph,>20,28-35,27.777777777777775
140,100,24,Bench press,Male,37,105,182,Endomorph,>20,>35,31.69907016060862
125,102.5,9,Bench press,Male,27,93,183,Endomorph,7-10,20-27,27.77031263997133
115,105,3,Bench press,Male,21,81,175,Endomorph,2-3,20-27,26.448979591836736
110,105,3,Bench press,Male,18,95,190,Endomorph,2-3,<20,26.31578947368421
110,107,2,Bench press,Male,28,89,176,Endomorph,2-3,28-35,28.731921487603305
112.5,107.5,2,Bench press,Male,16,82,174,Mesomorph,2-3,<20,27.08415906989034
115,107.5,3,Bench press,Male,27,77,177,Endomorph,2-3,20-27,24.577867151840145
130,109,5,Bench press,Male,26,108,183,Endomorph,4-6,20-27,32.249395323837675
130,110,4,Bench press,Male,33,95,183,Endomorph,4-6,28-35,28.367523664486843
120,110,4,Bench press,Male,36,96,173,Endomorph,4-6,>35,32.075912994086
120,110,5,Bench press,Male,34,105,184,Endomorph,4-6,28-35,31.013705103969752
125,110,5,Bench press,Male,24,110,197,Endomorph,4-6,20-27,28.343940838465304
130,110,10,Bench press,Male,18,100,188,Mesomorph,7-10,<20,28.2933454051607
145,110,10,Bench press,Male,26,120,187,Endomorph,7-10,20-27,34.31610855329005
130,110,12,Squat,Male,62,80,174,Mesomorph,11-20,>35,26.42356982428326
160,110,17,Squat,Male,22,70,170,Mesomorph,11-20,20-27,24.221453287197235
125,115,3,Bench press,Male,21,90,188,Ectomorph,2-3,20-27,25.46401086464463
140,115,6,Bench press,Male,17,90,167,Endomorph,4-6,<20,32.2707877657858
145,115,10,Bench press,Male,44,84,172,Endomorph,7-10,>35,28.393726338561386
130,120,2,Bench press,Male,34,85,172,Endomorph,2-3,28-35,28.73174689021093
127.5,120,3,Squat,Female,32,72,164,Endomorph,2-3,28-35,26.769779892920877
130,120,3,Bench press,Male,24,75,170,Ectomorph,2-3,20-27,25.95155709342561
135,120,3,Bench press,Male,19,81,180,Mesomorph,2-3,<20,25
140,120,4,Squat,Male,29,100,169,Endomorph,4-6,28-35,35.01277966457757
135,120,4,Bench press,Male,44,103,182,Ectomorph,4-6,>35,31.095278348025598
140,120,5,Bench press,Male,22,78,170,Endomorph,4-6,20-27,26.989619377162633
135,120,5,Bench press,Male,20,81,176,Ectomorph,4-6,20-27,26.149276859504134
150,120,6,Bench press,Male,31,85,174,Ectomorph,4-6,28-35,28.075042938300964
130,120,6,Bench press,Male,21,98,188,Endomorph,4-6,20-27,27.727478497057486
140,120,9,Bench press,Male,35,77,164,Mesomorph,7-10,28-35,28.628792385484825
157.5,120,10,Bench press,Male,28,90,170,Endomorph,7-10,28-35,31.14186851211073
150,120,15,Bench press,Male,37,87,175,Ectomorph,11-20,>35,28.408163265306122
